number,title,url,state,created_at,closed_at
4864,fix(core): duplicate registration in edgeless,https://github.com/toeverything/AFFiNE/pull/4864,merged,2023-11-07T18:30:14Z,2023-11-08T03:11:04Z
4923,feat(i18n): update translation,https://github.com/toeverything/AFFiNE/pull/4923,merged,2023-11-13T08:20:01Z,2023-11-17T09:39:33Z
4947,fix(core): escape cmdk value,https://github.com/toeverything/AFFiNE/pull/4947,merged,2023-11-15T06:41:14Z,2023-11-20T02:49:32Z
4957,feat(core): add manual check for updates,https://github.com/toeverything/AFFiNE/pull/4957,merged,2023-11-16T04:00:14Z,2023-11-29T13:50:38Z
4961,feat(core): keep the latest toast showing when multiple call,https://github.com/toeverything/AFFiNE/pull/4961,merged,2023-11-16T08:11:21Z,2023-11-20T02:47:10Z
4972,fix(core): adjust cmdk list scroll padding block,https://github.com/toeverything/AFFiNE/pull/4972,merged,2023-11-17T06:56:02Z,2023-11-20T02:39:46Z
5008,fix(core): cmdk crash when entering double quotes,https://github.com/toeverything/AFFiNE/pull/5008,merged,2023-11-20T15:47:25Z,2023-11-21T13:25:22Z
5023,feat(core): add download app button to web,https://github.com/toeverything/AFFiNE/pull/5023,merged,2023-11-22T07:35:36Z,2023-11-23T06:33:25Z
5042,chore: bump icons version,https://github.com/toeverything/AFFiNE/pull/5042,merged,2023-11-23T09:21:23Z,2023-11-23T12:21:39Z
5044,feat(core): add responsive styles to registration page,https://github.com/toeverything/AFFiNE/pull/5044,merged,2023-11-23T09:49:45Z,2023-12-06T10:52:49Z
5073,feat(core): show searched result with results group and add duplicate commands,https://github.com/toeverything/AFFiNE/pull/5073,merged,2023-11-27T08:46:22Z,2023-11-29T03:11:46Z
5077,feat(component): default collapse and float sidebar on mobile,https://github.com/toeverything/AFFiNE/pull/5077,merged,2023-11-27T09:46:57Z,2023-11-29T02:29:52Z
5094,fix(core): adjust ui styles,https://github.com/toeverything/AFFiNE/pull/5094,merged,2023-11-28T08:23:26Z,2023-11-30T04:23:57Z
5132,feat(core): support sidebar page item dnd,https://github.com/toeverything/AFFiNE/pull/5132,merged,2023-11-29T09:13:24Z,2023-12-12T16:14:40Z
5140,feat(core): add present to edgeless sharing,https://github.com/toeverything/AFFiNE/pull/5140,merged,2023-11-30T05:04:40Z,2023-12-08T04:53:36Z
5153,chore: adjust banner content text,https://github.com/toeverything/AFFiNE/pull/5153,merged,2023-12-01T07:42:05Z,2023-12-06T08:25:43Z
5175,fix(core): unable to create share page link,https://github.com/toeverything/AFFiNE/pull/5175,merged,2023-12-04T08:17:32Z,2023-12-05T08:24:20Z
5239,feat(core): adjust empty collection style,https://github.com/toeverything/AFFiNE/pull/5239,merged,2023-12-08T10:24:45Z,2023-12-11T06:39:41Z
5257,fix(cli): fix storybook build error,https://github.com/toeverything/AFFiNE/pull/5257,merged,2023-12-11T07:49:06Z,2023-12-11T08:16:33Z
5263,fix(core): adjust share edgeless display error,https://github.com/toeverything/AFFiNE/pull/5263,merged,2023-12-11T10:46:40Z,2023-12-11T11:04:45Z
5269,fix(core): fix window cannot be dragged on the collection page,https://github.com/toeverything/AFFiNE/pull/5269,merged,2023-12-12T06:42:40Z,2023-12-13T07:13:39Z
5292,fix(component): fix incorrect input component width and height styling,https://github.com/toeverything/AFFiNE/pull/5292,merged,2023-12-13T08:50:24Z,2023-12-19T08:36:35Z
5314,chore(server): remove early access tips from invitation emails,https://github.com/toeverything/AFFiNE/pull/5314,merged,2023-12-15T07:15:36Z,2023-12-19T07:05:41Z
5323,feat(core): adjust empty favourites style,https://github.com/toeverything/AFFiNE/pull/5323,merged,2023-12-18T06:57:07Z,2023-12-19T08:46:35Z
5325,fix(storybook): fix test,https://github.com/toeverything/AFFiNE/pull/5325,merged,2023-12-18T07:48:21Z,2023-12-18T13:45:36Z
5353,fix(core): escape special characters for cmdk item values,https://github.com/toeverything/AFFiNE/pull/5353,merged,2023-12-20T07:01:06Z,2023-12-20T08:33:48Z
5364,chore(core): temporarily hide export png and pdf in edgeless,https://github.com/toeverything/AFFiNE/pull/5364,merged,2023-12-21T06:44:49Z,2023-12-21T07:22:37Z
5366,feat: add useBlocksuiteEditor hooks,https://github.com/toeverything/AFFiNE/pull/5366,merged,2023-12-21T07:27:53Z,2023-12-28T08:44:41Z
5396,chore(core): add background color to questionnaire,https://github.com/toeverything/AFFiNE/pull/5396,merged,2023-12-26T03:15:26Z,2023-12-26T07:23:44Z
5404,fix(core): avatars are not aligned,https://github.com/toeverything/AFFiNE/pull/5404,merged,2023-12-26T07:45:16Z,2023-12-26T12:23:28Z
5409,fix(core): disable quick search when the link-popup is visitable,https://github.com/toeverything/AFFiNE/pull/5409,merged,2023-12-26T10:12:55Z,2024-01-04T13:31:41Z
5422,chore: adjust side bar empty item color,https://github.com/toeverything/AFFiNE/pull/5422,merged,2023-12-28T06:51:13Z,2023-12-28T13:58:35Z
5500,feat(core): add cloud workspace member limit,https://github.com/toeverything/AFFiNE/pull/5500,merged,2024-01-03T08:58:43Z,2024-01-03T15:05:35Z
5514,refactor(component): adapt the questionnaire component to the desktop client,https://github.com/toeverything/AFFiNE/pull/5514,merged,2024-01-05T07:05:08Z,2024-01-19T10:16:32Z
5518,feat(core): get cloud workspace usage limit from user quota,https://github.com/toeverything/AFFiNE/pull/5518,merged,2024-01-05T08:25:52Z,2024-01-16T08:10:36Z
5535,feat(workspace): add blob and storage limit,https://github.com/toeverything/AFFiNE/pull/5535,merged,2024-01-08T03:56:30Z,2024-01-24T07:45:50Z
5537,refactor(core): replace WorkspaceSubPath in env package with the one in core package,https://github.com/toeverything/AFFiNE/pull/5537,merged,2024-01-08T08:47:10Z,2024-01-16T08:41:44Z
5567,feat(core): add collection and tag filters to all pages,https://github.com/toeverything/AFFiNE/pull/5567,merged,2024-01-10T13:14:50Z,2024-01-26T07:55:04Z
5625,fix(core): reserve space for the editor scrollbar,https://github.com/toeverything/AFFiNE/pull/5625,merged,2024-01-18T07:48:26Z,2024-01-18T12:53:48Z
